lat,lon
40.7571,-73.9824
40.7703,-73.9815
40.7404,-74.0079
40.7749,-73.9547
40.7256,-74.0075
40.7736,-73.9477
40.7385,-73.9877
40.7412,-73.9941
40.7642,-73.979
40.7235,-74.0061
40.726,-73.9982
40.7476,-73.9844
40.7534,-73.9846
40.7231,-74.0029
40.743,-73.9801
40.7109,-74.0056
40.7218,-73.9988
40.717,-74.0129
40.7748,-73.9586
40.7251,-73.9922
40.7243,-73.9828
40.7398,-73.9906
40.7436,-73.9946
40.7197,-74.0061
40.7506,-73.9738
40.7711,-73.9518
40.7656,-73.9822
40.7524,-73.9841
40.7328,-73.9921
40.7409,-74.0075
40.7771,-73.952
40.731,-73.9994
40.7505,-73.9946
40.705,-74.0133
40.7665,-73.9884
40.7441,-73.9746
40.7751,-73.9823
40.7331,-73.9867
40.7639,-73.9938
40.767,-73.9814
40.7537,-73.9784
40.758,-73.9746
40.7321,-74.0
40.7665,-73.9782
40.7292,-73.989
40.7497,-73.9692
40.7089,-74.0009
40.7201,-74.0002
40.7599,-73.9763
40.7616,-73.9717
40.7632,-73.9736
40.7524,-73.9804
40.725,-73.9971
40.7305,-74.0096
40.7171,-73.9832
40.7733,-73.9591
40.7074,-74.0088
40.8162,-73.946
40.766,-73.9791
40.7358,-73.9979
40.7481,-73.9713
40.7286,-74.0028
40.7479,-73.9848
40.7431,-74.0074
40.7404,-74.0058
40.7583,-73.9752
40.7376,-73.9967
40.7462,-73.9941
40.7502,-73.9831
40.7288,-73.9824
40.7051,-74.0107
40.7418,-74.0074
40.7514,-74.0067
40.7196,-73.9945
40.7619,-73.9826
40.7214,-73.9886
40.7192,-74.0091
40.7383,-73.9932
40.7223,-74.0011
40.7938,-73.9691
40.7401,-74.0074
40.7382,-73.9989
40.7541,-73.9917
40.7576,-73.9755
40.7162,-74.0013
40.7616,-74.0001
40.7423,-73.9912
40.7291,-73.9921
40.7744,-73.9821
40.74,-73.9739
40.8099,-73.9587
40.7594,-73.9724
40.7504,-73.9736
40.7563,-73.9878
40.7479,-74.0003
40.7492,-73.9919
